,Text,Scores,Classes,PredictedClass,TopScore
275,"Illinois on track to lose congressional seats, electoral votes By Darren Iozia | Jacksonville Journal-Courier, Ill. (TNS) Oct 17, 2020 Save By Darren Iozia | Jacksonville Journal-Courier, Ill. (TNS).  JACKSONVILLE, Ill. — Thanks to Illinois’ population decline, the state is on track to lose at least one congressional seat — putting it on track to lose at least one electoral vote in the Electoral College — when the latest U.S. Census numbers are tabulated..  “In the past five to six decades, we have lost at least one congressional seat” every 10 years, said C.D. Davidsmeyer, state representative for Illinois’ 100th District..  Illinois now has 20 electoral votes, which play an integral role in determining the winner of presidential elections. But the state’s population has declined 1.2% since 2010 and, with the 435 U.S. House of Representatives seats divided among the states, Illinois could lose as many as three congressional seats, according to kiplinger.com ..  “It’s difficult for a state to turn the trend around,” Davidsmeyer said of gaining seats back. “We won’t be as strong at the federal level.”.  Illinois’ population during the past decade peaked at 12.9 million — in 2011 and 2015. It now sits at 12.65 million..  Davidsmeyer said the state needs to work on bringing down its $7 billion debt and better control how money is used so people will want to stay instead of moving to a neighboring state and so others will be interested in moving here..  “We need incentive for people to be here,” he said..  In 2008, the state had 21 electoral votes. At the height of its electoral strength, from 1912 to 1940, Illinois had 29 electoral votes..  With 20 electoral votes, Illinois remains the largest electoral prize in the Midwest, although nearby Ohio, with 18, gets more attention in the general election because it is a battleground state between the Republican and Democratic parties..  The Electoral College consists of 538 electors. Each state gets as many electoral votes as it has members of Congress with the District of Columbia getting three. To be elected president, the winner must get at least half the total votes plus one — or 270 electoral votes.","[0.8187136054039001, 0.18128637969493866]","['negative', 'positive']",negative,0.8187136054039001
276,"Opening Wednesday, September 9th, from 6PM - 7PM « ».  Join us for this virtual lecture and garden walk!.  Registration is free but donations are greatly appreciated. Register here: https://garfieldconservatory.org/event/2nd-wednesday-lecture-monet-in-chicago/.  Join Gloria Groom, Chair of European Painting and Sculpture and David and Mary Winton Green Curator at the Art Institute of Chicago, for a virtual lecture on Monet and Chicago, on view at the Art Institute from September 5 to January 18. The first exhibition to explore Chicago’s pioneering connection to the “Father of Impressionism” brings together more than 65 paintings— from the Art Institute’s holdings and esteemed Chicago-based collections—including beloved major works as well as rarely seen still lifes, figural scenes, seascapes, and landscapes. Monet and Chicago explores Chicago’s continuing relationship with the artist, and offers an opportunity to look more closely at the artist’s oeuvre through new art-historical research and an in-depth scientific study of Monet’s materials and techniques..  Immediately following the presentation, join Peter Vrotsos, Deputy Director of Horticulture of Chicago Park District’s Conservatories, and Gloria on a brief walk through The Flowers of Monet exhibit in the Artist’s Garden at the Conservatory. Learn about how the plant selections in the exhibit relate and are influence to Monet’s artwork as both a painter and garden designer..  -.  About the Presenters: GLORIA GROOM, Chair of European Painting and Sculpture and David and Mary Winton Green Curator at the Art Institute of Chicago Gloria Groom joined the Art Institute in 1984. A renowned specialist in Impressionism and Post-Impressionism, she is the curator of many exhibitions, including Manet and Modern Beauty; Van Gogh’s Bedrooms; Impressionism, Fashion, and Modernity; Gauguin: Artist as Alchemist; and currently, Monet and Chicago. Groom is the author of monographs on Edouard Vuillard as well as the catalogues accompanying her exhibitions. In April 2016, she received the distinction of the Chevalier in the Légion d’Honneur, the highest of the five levels of the French government’s Légion d’Honneur award..  PETER VROTSOS started working for the Chicago Park District Conservatories in 2005. He has worked with many of the plant collections at both Lincoln and Garfield Park Conservatory, eventually reimagining and redesigning the outdoor Demonstration Garden at Garfield Park Conservatory..  In 2014, Peter left Chicago to become the Conservation Horticulturist at Fairchild Tropical Botanic Garden in Coral Gables, Florida. In that position, he documented critical declining populations of plants native to South Florida, while developing and executing a plan to restore populations..  Peter returned to Chicago in 2017 for his current position as Deputy Director of Horticulture for the Chicago Park District Conservatories. In this role, he establishes horticultural standards and manages horticultural operations to ensure the health and diversity of plant collections..  Photo credit: Claude Monet, Water Lilies, 1906. The Art Institute of Chicago, Mr. and Mrs. Martin A. Ryerson Collection..  This program is provided through a collaboration between the Garfield Park Conservatory Alliance, Chicago Park District and Art Institute of Chicago.","[0.5498977303504944, 0.4501023292541504]","['negative', 'positive']",negative,0.5498977303504944
277,"Three weeks..  That’s the amount of time left for Illinoisans to be counted in the 2020 Census. Data collection ends Sept. 30, and predictably officials are worried..  At a conference Thursday to boost the case, Gov. JB Pritzker announced Illinois was sixth among states in terms of response rate, but said many communities are between 30% and 50% counted..  “These areas include some of our most marginalized and hard-to-count communities,” he later tweeted. “Places like the Austin and Little Village neighborhoods in Chicago, Dixmoor and Harvey in suburban Cook County, and parts of the Metro East and Central and Southern Illinois.”.  I filled out my form online shortly after the window opened several months ago, and have seen Census workers patrolling the neighborhood. I tend to think the bureaucratic hand-wringing is overblown, but an email from Chicagoan Bill McGraw, who regularly visits rural relatives, caught my eye:.  “I wonder out loud about the (newspaper) tackling the census issue and the need to count everybody for the sake of bringing home the tax money that is rightfully due the area. I know in Chicago where I have lived for over 50 years, that issue is front and center and thought about the rural areas where the need is great to have a solid count for the farmers and surrounding areas..  “Just a thought as my relatives — in their 90s now and managing their farms with sharecroppers — the need is greater as the next generations of both locals and immigrants continue the legacy of this great area of Illinois and the census tract is more important than ever given the aging population of local farmers and merchants servicing the wonderful counties in Central Illinois.”.  Taking Bill’s concern to heart, it seems fitting to remind all readers what’s at stake. Once all 50 states are counted, 435 seats in the U.S. House of Representatives will be apportioned, as will electoral college delegates. The average number of constituents per House member has climbed every decade, from about 34,000 after the 1790 census to more than 700,000 following 2010. It’s more than doubled since just 1950, when the average was about 334,000..  In June 2019 the Population Reference Bureau projected Illinois will lose one seat, along with Michigan, Minnesota, New York, Pennsylvania, Rhode Island, and West Virginia. (Gainers are Arizona, Colorado, Florida, North Carolina and Oregon, adding one each, while Texas adds two.) If Illinois is undercounted, there’s a chance we could lose two..  The other pressing factor is federal aid allotted by population; U.S. Rep. Chuy Garcia, D-Chicago, says each missed person costs the state up to $20,000 over a decade..  Get counted. Visit my2020census.gov or call 844-330-2020. It’s quick, free and important..  • Scott T. Holland writes about state government issues for Shaw Media Illinois. Follow him on Twitter at @sth749. He can be reached at sholland@shawmedia.com. Suburban Life Media's Cutest Pet Contest! Enter now through September 14th. Then from September 15-21st make sure to vote for favorite cutest pet!","[0.5778403878211975, 0.4221595525741577]","['negative', 'positive']",negative,0.5778403878211975
278,"Illinois is now completing more COVID-19 tests per capita than any other state in the country, according to Gov. J.B. Pritzker..  During his daily press conference, Pritzker said Illinois surpassed New York in that measure over the past seven days..  Currently, Illinois Department of Public Health is reporting a total of 98,030 cases, including 4,379 deaths. A total of 621,684 tests have been administered in total, with 18,443 being tested in the past 24 hours..  ""There's much more work to do advance testing to make it even more widely available but I do want to recognize the folks at this juncture who made this happen,"" Pritzker said, thanking the many who have been executing the tests and working to make testing available..  New York has tested 1,467,739 people as of Tuesday. According to the U.S. Census Bureau, 12,671,821 people live in Illinois and 19,453,561 live in New York state..  Illinois has seen its largest increase in tests administered in the last week, according to state testing data..  Pritzker added that every region in Illinois are ""on track"" to reach phase 3 of the reopen Illinois plan before the end of May. Phase 2 began 18 days ago. He said specific information on workplaces and activities will be released in the coming days..  Illinois Department of Health Director Dr. Ngozi Ezike says without a stay-at-home order the state would not be as close to entering the next phase, but warned that people need to still take caution..  ""We can't undo all that we've done. We are going forward,"" Ezike said. ""We want to get to phase three and continue on."".  Pritzker encouraged anyone who is eligible to get tested, including people with symptoms, people with risk factors or who came into contact with the virus and people who work in health care facilities or at correctional facilities. The plan to reopen Illinois: The steps This article originally ran on pantagraph.com .","[0.5163906216621399, 0.4836093485355377]","['negative', 'positive']",negative,0.5163906216621399
279,"ST. LOUIS – A new report estimates it would cost $440 million dollars nationwide to test every nursing home resident and staff member just once. The American Health Care Association (AHCA) says that amount would be for nearly 3 million tests..  The AHCA says the cost of ongoing COVID testing for nursing home residents and staff is unsustainable without additional funding and support from federal and state governments..  The association has asked the Health and Human Services Department to grant $10 billion in emergency relief to help fund testing and help with staffing needs..  The report breaks down the cost by state and looks at the number of facilities and residents per state. The figures are also determined with an estimated cost of a test at $150..  The association looked at census data and says Missouri has 522 facilities and estimates it would cost $12,390,300 to test the 38,202 nursing home residents and staff in the state..  The report also shows Illinois has 722 facilities and would need $21,441,150 to test the 142,941 residents and staff at the state’s facilities..  Illinois has increased its response to long-term facilities by sending more staff. There is a page dedicated to information about nursing home outbreaks on the state health department page. The Health and Human Services Secretary said the US has conducted more than 10 million coronavirus tests, and the federal government is deploying rapid tests to meatpacking facilities and nursing homes. State","[0.6961069107055664, 0.303893119096756]","['negative', 'positive']",negative,0.6961069107055664
280,"Streisand ready for Schiff 2020: 'He speaks the truth and would make a great president'.  The regional intermediaries serve as large umbrella organizations covering various parts of the state. From there, the Illinois Department of Human Services said the funding will trickle down to smaller organizations..  “We need to get the funds out the door as soon as possible,” said. Gov. J. B. Pritzker..  Last summer, Pritzker announced he was allocating $29 million of state money for census outreach. He says his Republican predecessor, Bruce Rauner, is responsible for why the state was behind on doing more census outreach..  Various groups have already began sharing information about the census despite not receiving any or all of their state funding..  The Carole Robertson Center for Learning, a nonprofit organization, hosted a parent night in December, meant to trigger conversations about the 2020 census. A worker from the U.S. Census Bureau was on hand to explain to parents why it’s important to fill out the questionnaire used to count the entire population..  Once they receive state funding, the Robertson Center wants to have laptops or tablets available to parents who haven’t filled out the census..  Another group hosted a two-day training earlier this month, for community organizers at Casa Michoacán in Pilsen, a heavily Mexican neighborhood in Chicago. Various state and local leaders attended to praise the push to get everyone to participate in the census, particularly immigrant communities..  Throughout the training, the crowd chanted in Spanish, “Yo cuento, tu cuentas, todos contamos,” which means, “I count, you count, we all count.”.  “We need everyone to understand and know the importance of the census and know why we should all be counted,” Oswaldo Alvarez, one of the state’s census co-coordinators, told the crowd in Spanish. “We are from here, we are here and we aren’t leaving.”.  The U.S. Census Bureau will start sending mailings to households across the country by March 12. Sign up for Daily Newsletters.  Copyright © 2020 The Washington Times, LLC. Please read our comment policy before commenting..  Click to Read More and View Comments Click to Hide","[0.5481477379798889, 0.45185229182243347]","['positive', 'negative']",positive,0.5481477379798889
281,"Illinois News Illinois Census Outreach Groups Await Delayed State Funds Some of the groups tasked with helping ensure that Illinois gets a good turnout for the 2020 census haven't received their state funding yet. By Associated Press , Wire Service Content Feb. 2, 2020 By Associated Press , Wire Service Content Feb. 2, 2020, at 10:32 a.m. More.  CHICAGO (AP) — Some of the groups tasked with helping ensure that Illinois gets a good turnout for the 2020 census haven't received their state funding yet..  Census advocates worry that the lag in funding the groups' efforts could hurt the state's showing in the 10-year count, which determines how many U.S. House seats each state gets and how to distribute billions of federal dollars to local communities..  Only few of the nine regional intermediary outreach groups in the Chicago region have received the state funding they need to take on the mammoth task of trying to ensure that every resident participates or is accounted for in this year's census, the Chicago Tribune reported..  The stakes are high, as Illinois has lost population in the last few years and experts predict that it could lose one or even two congressional seats..  Gov. J. B. Pritzker, a Democrat, previously blamed his Republican predecessor for the delay. Gov. Bruce Rauner's term in office was dominated by budget wars that overshadowed other issues..  Pritkzer announced last year that he would allocate $29 million for census outreach..  “We need to get the funds out the door as soon as possible,” he said at the time..  The Illinois Department of Human Services said its goal is to get the money out as soon as possible..  Several groups that haven't received their state funding yet have pushed on, regardless..  The Carole Robertson Center for Learning, a nonprofit, recently hosted an event for parents with a worker from the U.S. Census Bureau.. The group plans to use laptops and tablets once they receive funding..  Some have focused on reaching groups of people who have historically been difficult to count, including immigrants..  Organizers recently held a two-day training course for community organizers at Casa Michoacán in Pilsen, which is a heavily Mexican neighborhood in Chicago..  “We need everyone to understand and know the importance of the census and know why we should all be counted,” Oswaldo Alvarez, one of the state's census co-coordinators, told the crowd in Spanish..  The Census Bureau will start sending mailings to households across the country by March 12..  Copyright 2020 The Associated Press . All rights reserved. This material may not be published, broadcast, rewritten or redistributed.","[0.5934993624687195, 0.4065006375312805]","['negative', 'positive']",negative,0.5934993624687195
282,"Illinois News Illinois Census Outreach Groups Await Delayed State Funds Some of the groups tasked with helping ensure that Illinois gets a good turnout for the 2020 census haven't received their state funding yet. By Associated Press , Wire Service Content Feb. 2, 2020 By Associated Press , Wire Service Content Feb. 2, 2020, at 10:32 a.m. More.  CHICAGO (AP) — Some of the groups tasked with helping ensure that Illinois gets a good turnout for the 2020 census haven't received their state funding yet..  Census advocates worry that the lag in funding the groups' efforts could hurt the state's showing in the 10-year count, which determines how many U.S. House seats each state gets and how to distribute billions of federal dollars to local communities..  Only few of the nine regional intermediary outreach groups in the Chicago region have received the state funding they need to take on the mammoth task of trying to ensure that every resident participates or is accounted for in this year's census, the Chicago Tribune reported..  The stakes are high, as Illinois has lost population in the last few years and experts predict that it could lose one or even two congressional seats..  Gov. J. B. Pritzker, a Democrat, previously blamed his Republican predecessor for the delay. Gov. Bruce Rauner's term in office was dominated by budget wars that overshadowed other issues..  Pritkzer announced last year that he would allocate $29 million for census outreach..  “We need to get the funds out the door as soon as possible,” he said at the time..  The Illinois Department of Human Services said its goal is to get the money out as soon as possible..  Several groups that haven't received their state funding yet have pushed on, regardless..  The Carole Robertson Center for Learning, a nonprofit, recently hosted an event for parents with a worker from the U.S. Census Bureau.. The group plans to use laptops and tablets once they receive funding..  Some have focused on reaching groups of people who have historically been difficult to count, including immigrants..  Organizers recently held a two-day training course for community organizers at Casa Michoacán in Pilsen, which is a heavily Mexican neighborhood in Chicago..  “We need everyone to understand and know the importance of the census and know why we should all be counted,” Oswaldo Alvarez, one of the state's census co-coordinators, told the crowd in Spanish..  The Census Bureau will start sending mailings to households across the country by March 12..  Copyright 2020 The Associated Press . All rights reserved. This material may not be published, broadcast, rewritten or redistributed.","[0.5934993624687195, 0.4065006375312805]","['negative', 'positive']",negative,0.5934993624687195
283,"Da Tech Guy Blog 'Donald trump on DaTechGuy's reporting ""…It's nonsense nobody reports that, but you do that's why I like you"" Illinois corruption investigation breaks wide open with guilty plea of state senator for bribery over red-light cameras and more.  By John Ruberry.  Last Sunday in this space I wrote about the need to ban red-light cameras in Illinois –and nationwide. One of the reasons I gave was that the easy cash collected from these “safety devices” fosters corruption. Oh, as far as safety, I mentioned in that post that the record on safety involving red-light cameras is at best mixed. They may even cause automobile accidents..  On Tuesday former Illinois state senator Martin Sandoval (D-Chicago), who has close ties to longtime state House speaker Michael Madigan–who also is the chairman of the state Democratic Party–pleaded guilty to bribery, tax evasion, and extortion charges in federal court. Sandoval is now cooperating with the feds..  Sandoval is the former chairman of the senate Transportation Committee. Using the clout from that post, he promised to “go balls to the walls for anything you ask me” to a representative of the red-light camera firm referred to as “Company A” in the plea agreement..  So far that company has not been officially named but perhaps in a verbal misstep, told a judge, “I accepted money in exchange for the use of my office as a state senator to help SafeSpeed, or Company A.”.  SafeSpeed denies wrongdoing and in a statement says it is cooperating with federal authorities..  Politicians are nervous. This weekend on his Fox Chicago show Flannery Fired Up, host Mike Flannery said, “This red light camera company–suddenly candidates, Republicans and Democrats in Springfield and elsewhere are racing to get rid of this money as if it was infected with the coronavirus. ”.  Prosecutors say that Sandoval accepted $250,000 in bribes, including $70,000 in bribes to benefit the red-light camera industry..  It hardly seems that the industry needs the help. According to the Illinois Policy Institute, Illinois drivers have handed over $1.1 billion to municipalities in fines involving red-light camera infractions . Illinois’ largest city of course is Chicago so it won’t shock you that it has more red-light cameras than any American municipality. Chicago, as I also mentioned in last week’s DTG entry, has already endured its own red-light camera scandal . The central figure in that scandal worked his way up the ranks in Boss Madigan’s Chicago ward organization..  Part of the federal investigation involves lobbying done on the behalf of Commonwealth Edison, the local electrical utility..  As far as public interest, the jaded residents of Illinois will have reasons to keep their attention focused on these scandals. Why? Because people hate utilities. They hate red-light cameras. They hate politicians..  Yes, people keep re-electing the latter, but Boss Michael Madigan, the Michelangelo of gerrymanderers, mocks the electoral system by creating legislative districts that all but ensures Democratic super-majorities in the Illinois General Assembly..  And increasingly, people hate Illinois. The Prairie State has lost population for six straight years. And no, cold winters aren’t the reason. The states that border Illinois, as well as nearby Michigan, are gaining residents..  As nauseum pols and media figures are calling–again–for “meaningful reform” in Illinois. Here are my suggestions: Amend the state constitution to ban gerrymandering, and bring term limits to the General Assembly–four terms in the House and two in the Senate. Majority leaders, minority leaders, House speakers and Senate president should be limited to four-year terms. And while we are amending the constitution, the pension guarantee clause needs to dropped, but while protecting those recipients on the lower and of the pension scale..  Did you know that state legislators can be paid lobbyists ? Ban that too..  Also, the state needs a strong inspector general with the power investigate General Assembly members..  John Ruberry regularly blogs at Marathon Pundit . Share this:","[0.5039371252059937, 0.49606284499168396]","['negative', 'positive']",negative,0.5039371252059937
284,"Illinois census outreach groups await delayed state funds Updated 9:34 am CST, Sunday, February 2, 2020.  CHICAGO (AP) — Some of the groups tasked with helping ensure that Illinois gets a good turnout for the 2020 census haven't received their state funding yet..  Census advocates worry that the lag in funding the groups' efforts could hurt the state's showing in the 10-year count, which determines how many U.S. House seats each state gets and how to distribute billions of federal dollars to local communities..  Only few of the nine regional intermediary outreach groups in the Chicago region have received the state funding they need to take on the mammoth task of trying to ensure that every resident participates or is accounted for in this year's census, the Chicago Tribune reported..  The stakes are high, as Illinois has lost population in the last few years and experts predict that it could lose one or even two congressional seats..  Gov. J. B. Pritzker, a Democrat, previously blamed his Republican predecessor for the delay. Gov. Bruce Rauner's term in office was dominated by budget wars that overshadowed other issues..  Pritkzer announced last year that he would allocate $29 million for census outreach..  “We need to get the funds out the door as soon as possible,” he said at the time..  The Illinois Department of Human Services said its goal is to get the money out as soon as possible..  Several groups that haven't received their state funding yet have pushed on, regardless..  The Carole Robertson Center for Learning, a nonprofit, recently hosted an event for parents with a worker from the U.S. Census Bureau.. The group plans to use laptops and tablets once they receive funding..  Some have focused on reaching groups of people who have historically been difficult to count, including immigrants..  Organizers recently held a two-day training course for community organizers at Casa Michoacán in Pilsen, which is a heavily Mexican neighborhood in Chicago..  “We need everyone to understand and know the importance of the census and know why we should all be counted,” Oswaldo Alvarez, one of the state's census co-coordinators, told the crowd in Spanish..  The Census Bureau will start sending mailings to households across the country by March 12. Most Popular ","[0.5283599495887756, 0.47164005041122437]","['negative', 'positive']",negative,0.5283599495887756
285,"Illinois census outreach groups await delayed state funds Updated 9:34 am CST, Sunday, February 2, 2020.  CHICAGO (AP) — Some of the groups tasked with helping ensure that Illinois gets a good turnout for the 2020 census haven't received their state funding yet..  Census advocates worry that the lag in funding the groups' efforts could hurt the state's showing in the 10-year count, which determines how many U.S. House seats each state gets and how to distribute billions of federal dollars to local communities..  Only few of the nine regional intermediary outreach groups in the Chicago region have received the state funding they need to take on the mammoth task of trying to ensure that every resident participates or is accounted for in this year's census, the Chicago Tribune reported..  The stakes are high, as Illinois has lost population in the last few years and experts predict that it could lose one or even two congressional seats..  Gov. J. B. Pritzker, a Democrat, previously blamed his Republican predecessor for the delay. Gov. Bruce Rauner's term in office was dominated by budget wars that overshadowed other issues..  Pritkzer announced last year that he would allocate $29 million for census outreach..  “We need to get the funds out the door as soon as possible,” he said at the time..  The Illinois Department of Human Services said its goal is to get the money out as soon as possible..  Several groups that haven't received their state funding yet have pushed on, regardless..  The Carole Robertson Center for Learning, a nonprofit, recently hosted an event for parents with a worker from the U.S. Census Bureau.. The group plans to use laptops and tablets once they receive funding..  Some have focused on reaching groups of people who have historically been difficult to count, including immigrants..  Organizers recently held a two-day training course for community organizers at Casa Michoacán in Pilsen, which is a heavily Mexican neighborhood in Chicago..  “We need everyone to understand and know the importance of the census and know why we should all be counted,” Oswaldo Alvarez, one of the state's census co-coordinators, told the crowd in Spanish..  The Census Bureau will start sending mailings to households across the country by March 12. Most Popular ","[0.5283599495887756, 0.47164005041122437]","['negative', 'positive']",negative,0.5283599495887756
286,"Warm and wet were the watchwords of last week in the farm fields of Illinois, according to the USDA crop report..  USDA state statistician Mark Schleusener says the average rainfall was about an inch and a quarter, which is about a quarter inch above normal. The average temperature of 77 was about a degree warmer than normal..  Corn’s 89 percent silked, 22 percent in the dough stage and 74 percent rated good to excellent. Soybeans are 67 percent blooming, 36 percent setting pods and 76 percent good to excellent..  Schleusener says farmers should be receiving surveys for the August 12 forecast report..  Dave Dahl can be reached at news@wjbc.com In these troubled times, to my fellow white Americans.  By Mike Matejka Our nation is at a unique watershed in human relations. African-Americans have been killed too many times in the past before George Floyd, but the response to this man’s death is international and all-encompassing. I was a grade-schooler during the Civil Rights 1960s. I watched Birmingham demonstrators hosed and the Selma – Montgomery… Workers’ Memorial Day – Remember those whose job took their life.  Looking around our community, when we say employer, most will respond to State Farm, Country, or Illinois State University. We too often forget those who are building our roads, serving our food, or our public employees. COVID-19 has made us more aware of the risk. Going to work every day for some people means… Everyone counts and you could make the difference.  By Mike Matejka How many federal dollars will there be for road repairs? To feed hungry families? How many Illinois representatives will there be in Congress? Are Illinois communities going to get their fair share? There’s only one way to ensure our community gets treated properly – answer the census. The every ten year U.S. census,… Reactions to the “A Community in Conflict” exhibit.  By Mike Matejka Every community has its home-town pride; Bloomington-Normal is proud to claim Steak n’ Shake and MASH TV star McLean Stevenson. We’ve also had a moment of contention and conflict. Sometimes these are uplifting stories of human progress. At other times, they cause us to shake our heads and wonder why. The McLean… Free Apps","[0.5591100454330444, 0.44088995456695557]","['positive', 'negative']",positive,0.5591100454330444
287,"LOOKING AT THE ‘ILLINOIS EXODUS’ Is there really an ‘Illinois exodus’? Here's where Illinois and Iowa residents are moving. Graham Ambrose.  Are Illinois residents really fleeing for Iowa? Census data says they are not. TODD MIZENER, tmizener@qconline.com.  When Rock Island County approved an 8.9% property tax increase weeks ago, the blowback on social media was vehement..  Tax increases are seldom popular, but doubly so on the western border of cash-strapped Illinois, where residents on both sides of the river believe that locals are leaving for Iowa..  Illinois ranks 49th out of 50 states in net migration loss. Between 2012 and 2018, the state shrank by 134,000 residents, according to figures from the U.S. Census Bureau..  According to many of its politicians, journalists and everyday residents, Illinois is undergoing an exodus of people and resources ..  Some blame high taxes. Others a broken school system..  In the Quad-Cities, popular belief says that Illinoisians are crossing the border en masse and resettling in the Hawkeye State..  But new data from the U.S. Census Bureau point to a surprising truth: Roughly the same proportion of Illinoisians and Iowans moved out of their respective states last year..  Data show that most Illinoisians aren’t moving to Iowa. Instead, they’re bailing for different Midwestern states..  The Times analyzed Census estimates to understand where Illinois and Iowa residents are going. The data show the extent to which the so-called “Illinois exodus” is benefiting Iowa, or other states altogether..  The data show definitively that Illinois is the top destination for Iowans who leave the Hawkeye State. But Iowa isn’t even in the top five destinations for Illinoisians who leave the Land of Lincoln..  More Illinoisians moved to Indiana, Florida, Wisconsin, California, Missouri and Texas, the data show. Quad-Cities growing unequally, some play the blame game Which city has more people: Rock Island, Ill., or Bettendorf, Iowa?.  The trends aren’t positive for Illinois. The data show that Iowa to Illinois migration is slowing, while Illinois to Iowa is picking up. × Already a subscriber? Log in or Activate your account . Loading&hellp;","[0.6770974397659302, 0.3229025602340698]","['negative', 'positive']",negative,0.6770974397659302
288,"EVANSTON, Ill. (WTVO) — Aldermen in the Chicago suburb of Evanston voted to funnel all sales tax revenue collected from recreational marijuana into funding a local reparations program..  According to the Chicago Tribune , officials say the program will help the city’s black population stay in Evanston, while providing training for jobs and other benefits..  Ald. Robin Rue Simmons, who proposed the bill, said, “We can implement funding to directly invest in black Evanston.”.  According to U.S. Census data, Evanston’s black population decreased from 22.5 percent in 2000 to 16.9 percent in 2017..  Simmons said many black residents were victims of the “war on drugs” and spent time in jail for smoking marijuana, according to the Tribune..  The proposal passed with a vote of 8-1..  Legislation to allow the sale of recreational marijuana in Illinois was passed this year and goes into effect on January 1st, 2020..  MORE HEADLINES: ","[0.5584944486618042, 0.4415055215358734]","['negative', 'positive']",negative,0.5584944486618042
289,"EVANSTON, Ill. (WTVO) — Aldermen in the Chicago suburb of Evanston voted to funnel all sales tax revenue collected from recreational marijuana into funding a local reparations program..  According to the Chicago Tribune , officials say the program will help the city’s black population stay in Evanston, while providing training for jobs and other benefits..  Ald. Robin Rue Simmons, who proposed the bill, said, “We can implement funding to directly invest in black Evanston.”.  According to U.S. Census data, Evanston’s black population decreased from 22.5 percent in 2000 to 16.9 percent in 2017..  Simmons said many black residents were victims of the “war on drugs” and spent time in jail for smoking marijuana, according to the Tribune..  The proposal passed with a vote of 8-1..  Legislation to allow the sale of recreational marijuana in Illinois was passed this year and goes into effect on January 1st, 2020..  MORE HEADLINES: ","[0.5584944486618042, 0.4415055215358734]","['negative', 'positive']",negative,0.5584944486618042
290,".  It all started here ..  Population loss as in major -- 50% or more..  Source : Wikipedia ( Brown County , Mount Sterling ).  Mount Sterling is the county seat of Brown County ..  Population loss by degrees: 80-90% , 70-79% , 60-69% , 50-59%..  Source: U.S. Census Bureau QuickFacts.  Percentage of population 25 and older with a bachelor's degree:.  13.2% - Brown County 33.4% - Illinois 30.9% - U.S. Percentage of population 65 and older:.  13.9% - Brown County 15.6% - Illinois 16.0% - U.S. % of population living in poverty: 14.9% - Brown County 12.1% - Illinois 11.8% - U.S..  Greetings from Trump's America..  Source: Wikipedia 3rd-party candidates received 19.1% of vote in 1992, 10.9% of vote in 1996, 4.5% in 2016 (George Wallace received 8.5% of the vote in 1968).  Brown County Public Library , Mount Sterling.  Other Illinois population loss posts: Alexander County/Cairo . (11/15/2019).  Pulaski County/Mound City . (11/15/2019).  Pope County/Golconda . (11/15/2019).  Hardin County/Elizabethtown . (11/15/2019).  Gallatin County/Shawneetown. (11/16/2019).  Hamilton County/McLeansboro . (11/17/2019).  White County/Carmi . (11/18/2019).  Jasper County/Newton . (11/18/2019).  Calhoun County/Hardin . (11/19/2019).  Pike County/Pittsfield . (11/21/2019).  Scott County/Winchester. (11/24/2019).  Schuyler County/Rushville . (11/25/2019).  Population loss series: Alabama.  Arkansas.  Colorado.  Detroit metro.  Georgia Iowa Kansas.  Louisiana.  Minnesota.  Mississippi.  Montana Nebraska.  New Mexico.  North Dakota Ohio.  Oklahoma Pennsylvania.  South Dakota.  Texas.  Wyoming ","[0.6779389977455139, 0.32206103205680847]","['negative', 'positive']",negative,0.6779389977455139
291,".  It all started here ..  Population loss as in major -- 50% or more..  Source : Wikipedia ( Brown County , Mount Sterling ).  Mount Sterling is the county seat of Brown County ..  Population loss by degrees: 80-90% , 70-79% , 60-69% , 50-59%..  Source: U.S. Census Bureau QuickFacts.  Percentage of population 25 and older with a bachelor's degree:.  13.2% - Brown County 33.4% - Illinois 30.9% - U.S. Percentage of population 65 and older:.  13.9% - Brown County 15.6% - Illinois 16.0% - U.S. % of population living in poverty: 14.9% - Brown County 12.1% - Illinois 11.8% - U.S..  Greetings from Trump's America..  Source: Wikipedia 3rd-party candidates received 19.1% of vote in 1992, 10.9% of vote in 1996, 4.5% in 2016 (George Wallace received 8.5% of the vote in 1968).  Brown County Public Library , Mount Sterling.  Other Illinois population loss posts: Alexander County/Cairo . (11/15/2019).  Pulaski County/Mound City . (11/15/2019).  Pope County/Golconda . (11/15/2019).  Hardin County/Elizabethtown . (11/15/2019).  Gallatin County/Shawneetown. (11/16/2019).  Hamilton County/McLeansboro . (11/17/2019).  White County/Carmi . (11/18/2019).  Jasper County/Newton . (11/18/2019).  Calhoun County/Hardin . (11/19/2019).  Pike County/Pittsfield . (11/21/2019).  Scott County/Winchester. (11/24/2019).  Schuyler County/Rushville . (11/25/2019).  Population loss series: Alabama.  Arkansas.  Colorado.  Detroit metro.  Georgia Iowa Kansas.  Louisiana.  Minnesota.  Mississippi.  Montana Nebraska.  New Mexico.  North Dakota Ohio.  Oklahoma Pennsylvania.  South Dakota.  Texas.  Wyoming ","[0.6779389977455139, 0.32206103205680847]","['negative', 'positive']",negative,0.6779389977455139
